date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:33	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/career	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/career.1203.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/drivingchange	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/drivingchange.1204.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/cashapp	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/cashapp.1205.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	8242/8242	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:30%20GMT	https://www.dpd.com/sk_en/layout/set/print/business_customers/products_services/options/domestic_shipping/predict	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/layout/set/print/business_customers/products_services/options/domestic_shipping/predict.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:35	233/233	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2017:58:34%20GMT	http://www.dpd.com/sk_en/home	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:35	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie.1207.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:36	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/contact	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/contact.1209.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:37	11934/11934	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:36%20GMT	http://www.dpd.com/sk_en/layout/set/print/business_customers/products_services/classic_services	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/layout/set/print/business_customers/products_services/classic_services.html	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:39	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/options	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/options.120b.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
18:58:39	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/solutions	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/solutions.120c.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/express_services)
